ensembl_gene_id	hgnc_symbol	chromosome_name	start_position	end_position	band
ENSG00000188459	WASF4P	X	47803296	47804789	p11.23
ENSG00000272447		10	79825902	79827602	q22.3
ENSG00000214602	CTBP2P5	2	48915267	48916530	p16.3
ENSG00000260371		16	69335091	69356306	q22.1
ENSG00000244733		10	79660891	79677996	q22.3
ENSG00000282998		2	49202126	49451896	p16.3
ENSG00000224886		10	79684494	79684983	q22.3
ENSG00000231124	UBE2V1P11	2	201824548	201824832	q33.1
ENSG00000168802	CHTF8	16	69118010	69132584	q22.1
ENSG00000280355		10	79681973	79684094	q22.3
ENSG00000170820	FSHR	2	48962157	49154537	p16.3
ENSG00000278616	BEND3P3	10	79682997	79685436	q22.3
ENSG00000225484	NUTM2B-AS1	10	79663088	79826594	q22.3
ENSG00000228861	RPL23AP12	21	39127568	39128040	q22.2
ENSG00000228315	GUSBP11	22	23638487	23717356	q11.23
ENSG00000235701	PCBP2P1	21	39171130	39172106	q22.2
ENSG00000165410	CFL2	14	34706769	34714823	q13.1
ENSG00000235169	SMIM1	1	3772761	3775982	p36.32
ENSG00000227014		7	29988600	30025660	p14.3
ENSG00000255099		8	109777912	109782288	q23.2
ENSG00000241385		8	109899246	109899762	q23.2
ENSG00000160323	ADAMTS13	9	133414358	133459402	q34.2
ENSG00000136193	SCRN1	7	29920103	29990289	p14.3
ENSG00000164794	KCNV1	8	109963645	109975847	q23.2
ENSG00000265096	C1QTNF1-AS1	17	79019209	79027655	q25.3
ENSG00000129535	NRL	14	24080107	24115014	q12
ENSG00000255402		8	109973943	109974781	q23.2
ENSG00000272153		1	3785008	3785538	p36.32
ENSG00000130764	LRRC47	1	3778558	3796504	p36.32
ENSG00000251212	MTND5P4	4	17061878	17062165	p15.32
ENSG00000249998		4	16973275	17073903	p15.32
ENSG00000250819	LINC02493	4	17171757	17186059	p15.32
ENSG00000233035	HCG15	CHR_HSCHR6_MHC_MANN_CTG1	28986169	28987450	
ENSG00000215278	RPS7P6	4	17427696	17428274	p15.32
ENSG00000240111		CHR_HSCHR6_MHC_MANN_CTG1	28986766	28988502	
ENSG00000258943		14	63298126	63299547	q23.2
ENSG00000262243	CES1	CHR_HSCHR16_1_CTG3_1	55799704	55830035	
ENSG00000087903	RFX2	19	5993164	6199572	p13.3
ENSG00000235589	ZNF311	CHR_HSCHR6_MHC_MANN_CTG1	28994750	29005281	
ENSG00000179600	GPHB5	14	63312835	63318879	q23.2
ENSG00000259173		15	58755625	58756247	q21.3
ENSG00000245975		15	58768072	58770974	q21.3
ENSG00000227945		6	128027886	128085248	q22.33
ENSG00000224733		6	128500527	128501176	q22.33
ENSG00000132603	NIP7	16	69339430	69343111	q22.1
ENSG00000280109	PLAC4	21	41175231	41186788	q22.2
ENSG00000205583	STAG3L1	7	75359194	75395383	q11.23
ENSG00000227982	RPL7P30	7	84528122	84528830	q21.11
ENSG00000163814	CDCP1	3	45082278	45146422	p21.31
ENSG00000224388	BACE2-IT1	21	41180097	41180626	q22.2
ENSG00000103769	RAB11A	15	65726054	65891991	q22.31
ENSG00000152894	PTPRK	6	127968779	128520674	q22.33
ENSG00000224007		2	148295656	148296679	q23.1
ENSG00000125618	PAX8	2	113215997	113278950	q14.1
ENSG00000277751	LILRB2	CHR_HSCHR19LRC_PGF1_CTG3_1	54274438	54278995	
ENSG00000121989	ACVR2A	2	147844517	147930826	q22.3
ENSG00000229207	SERPINH1P1	9	34318407	34319655	p13.3
ENSG00000281982		CHR_HSCHR17_2_CTG5	45396932	45397477	
ENSG00000242073		7	75474707	75486108	q11.23
ENSG00000272489		10	79663192	79664786	q22.3
ENSG00000178809	TRIM73	7	75395063	75410996	q11.23
ENSG00000276907	ARHGAP27	CHR_HSCHR17_2_CTG5	45393902	45434423	
ENSG00000157869	RAB28	4	13361354	13484365	p15.33
ENSG00000164978	NUDT2	9	34329506	34343713	p13.3
ENSG00000276858	FCAR	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1	54874219	54890443	
ENSG00000226098	SEC11B	8	54522799	54523297	q11.23
ENSG00000230782		9	106974833	107102988	q31.2
ENSG00000104237	RP1	8	54509422	54871720	q11.23
ENSG00000282890		2	48809340	49419013	p16.3
ENSG00000254178		8	25834129	25840135	p21.2
ENSG00000256473		12	23637973	23638487	p12.1
ENSG00000148143	ZNF462	9	106863097	107013634	q31.2
ENSG00000213964	CHCHD4P4	3	11234256	11234582	p25.3
ENSG00000256120	SOX5-AS1	12	24223271	24237965	p12.1
ENSG00000196639	HRH1	3	11137093	11263557	p25.3
ENSG00000278416	PMS2P2	7	75344015	75359550	q11.23
ENSG00000151552	QDPR	4	17460261	17512234	p15.32
ENSG00000146722		7	75391955	75395434	q11.23
ENSG00000014164	ZC3H3	8	143437655	143541453	q24.3
ENSG00000134532	SOX5	12	23529500	24562544	p12.1
ENSG00000272391	POM121C	7	75416787	75486271	q11.23
ENSG00000249271	HNRNPA1P44	15	65816302	65817481	q22.31
ENSG00000100462	PRMT5	14	22920511	22929585	q11.2
ENSG00000227615		11	74745716	74746114	q13.4
ENSG00000278765		17	48066704	48067293	q21.32
ENSG00000237887	RPL23AP32	2	54529343	54529801	p16.2
ENSG00000228108		2	54516048	54540697	p16.2
ENSG00000135917	SLC19A3	2	227683763	227718031	q36.3
ENSG00000238018		2	54661011	54680045	p16.2
ENSG00000234943		2	54545368	54546677	p16.2
ENSG00000264697		18	68527970	68528123	q22.1
ENSG00000253114		8	54696398	54697127	q12.1
ENSG00000176567	OR4X1	11	48263861	48264778	p11.2
ENSG00000282745	IGHV6-1	CHR_HSCHR14_3_CTG1	105940525	105941024	
ENSG00000246350		6	28587378	28591747	p22.1
ENSG00000236080	YAP1P2	X	115069237	115069846	q23
ENSG00000105372	RPS19	19	41859918	41872926	q13.2
ENSG00000238230	LINC00391	13	94699694	94702862	q32.1
ENSG00000232040	ZBED9	6	28570535	28616212	p22.1
ENSG00000267661		18	11928838	11929476	p11.21
ENSG00000176555	OR4S1	11	48306223	48307152	p11.2
ENSG00000282197	IGHVII-1-1	CHR_HSCHR14_3_CTG1	105945981	105946160	
ENSG00000234286		7	23680195	23680786	p15.3
ENSG00000125285	SOX21	13	94709622	94712399	q32.1
ENSG00000282626	ADAM6	CHR_HSCHR14_3_CTG1	105970500	105973040	
ENSG00000113504	SLC12A7	5	1050376	1112035	p15.33
ENSG00000188732	FAM221A	7	23680130	23703249	p15.3
ENSG00000248457	LINC02220	5	12914068	13032886	p15.2
ENSG00000248145		5	13175846	13179572	p15.2
ENSG00000232946		9	6675284	6675614	p24.1
ENSG00000270755		9	130044713	130045081	q34.11
ENSG00000242608	RPS23P5	5	13250235	13250662	p15.2
ENSG00000279709		21	6309161	6312948	p12
ENSG00000176540	OR4C5	11	48365485	48366465	p11.2
ENSG00000197161	OR4C4P	11	48345351	48352447	p11.2
ENSG00000281356	GOLGA8IP	CHR_HSCHR15_3_CTG3	22610118	22620428	
ENSG00000182565	OR4C2P	11	48420210	48421273	p11.2
ENSG00000227640	SOX21-AS1	13	94712716	94716246	q32.1
ENSG00000278760	CORO7-PAM16	CHR_HSCHR16_3_CTG1	4340251	4422453	
ENSG00000176547	OR4C3	11	48324920	48328471	p11.2
ENSG00000266955		18	11993988	11994938	p11.21
ENSG00000223911		2	147899401	147902956	q23.1
ENSG00000164976	MYORG	9	34366670	34376853	p13.3
ENSG00000231562		9	106978776	106979554	q31.2
ENSG00000141401	IMPA2	18	11981025	12030883	p11.21
ENSG00000269194		19	49808933	49809738	q13.33
ENSG00000251204		5	106415576	106417241	q21.3
ENSG00000196961	AP2A1	19	49766968	49807113	q13.33
ENSG00000267450	OR1AB1P	19	16051929	16052689	p13.12
ENSG00000229611		9	6704471	6707780	p24.1
ENSG00000250145		5	106543066	106544330	q21.3
ENSG00000154957	ZNF18	17	11977439	11997510	p12
ENSG00000248462	NENFP3	5	13553654	13553966	p15.2
ENSG00000168394	TAP1	6	32845209	32853978	p21.32
ENSG00000241170		11	74876286	74920022	q13.4
ENSG00000223705	NSUN5P1	7	75410322	75416787	q11.23
ENSG00000175718	RBMXL3	X	115189427	115192868	q23
ENSG00000275564	FCAR	CHR_HSCHR19LRC_PGF1_CTG3_1	54804243	54821411	
ENSG00000130224	LRCH2	X	115110616	115234072	q23
ENSG00000166435	XRRA1	11	74807739	74949200	q13.4
ENSG00000148358	GPR107	9	130053426	130140169	q34.11
ENSG00000130066	SAT1	X	23783173	23786226	p22.11
ENSG00000225489		9	6716495	6727438	p24.1
ENSG00000134571	MYBPC3	11	47331397	47352702	p11.2
ENSG00000107077	KDM4C	9	6720863	7175648	p24.1
ENSG00000266368		17	11953889	11977594	p12
ENSG00000282011		CHR_HSCHR16_3_CTG1	4348654	4350608	
ENSG00000263684		17	11874932	11875828	p12
ENSG00000282228	PAM16	CHR_HSCHR16_3_CTG1	4331549	4356579	
ENSG00000235656	RPL36P18	X	115198432	115198749	q23
ENSG00000007174	DNAH9	17	11598431	11969748	p12
ENSG00000205940	HSP90AB2P	4	13333414	13338657	p15.33
ENSG00000187833	C2orf78	2	73784189	73817147	p13.1
ENSG00000235139		7	84532476	84584322	q21.11
ENSG00000184789	OR4C10P	11	48432217	48433147	p11.2
ENSG00000235243		7	84847877	84848253	q21.11
ENSG00000256557		12	27608733	27609046	p11.22
ENSG00000254925	OR4C9P	11	48464053	48464977	p11.2
ENSG00000171016	PYGO1	15	55538890	55588947	q21.3
ENSG00000110841	PPFIBP1	12	27523431	27695564	p11.23
ENSG00000261893	CLK2	CHR_HSCHR1_2_CTG31	155278272	155293895	
ENSG00000267415		19	6176256	6176442	p13.3
ENSG00000267299		19	6109322	6125797	p13.3
ENSG00000284490		19	6199405	6205121	p13.3
ENSG00000165475	CRYL1	13	20403666	20525873	q12.11
ENSG00000266117	FBXO36P1	17	68095068	68095757	q24.2
ENSG00000205089	CCNI2	5	132747445	132754403	q31.1
ENSG00000265055		17	68096046	68101474	q24.2
ENSG00000130377	ACSBG2	19	6135247	6193094	p13.3
ENSG00000259738	ZNF444P1	15	58865006	58865303	q22.1
ENSG00000278876		17	81862778	81863102	q25.3
ENSG00000157450	RNF111	15	58865175	59097419	q22.1
ENSG00000232605	HMGN2P11	7	84876554	84876956	q21.11
ENSG00000142556	ZNF614	19	52012765	52030240	q13.41
ENSG00000232781	OR2AD1P	CHR_HSCHR6_MHC_MANN_CTG1	29026645	29027572	
ENSG00000240065	PSMB9	6	32844136	32859585	p21.32
ENSG00000282039		CHR_HSCHR14_3_CTG1	105979291	105979917	
ENSG00000282550	IGHV1-2	CHR_HSCHR14_3_CTG1	105987353	105987854	
ENSG00000282108	IGHVIII-2-1	CHR_HSCHR14_3_CTG1	106002305	106002595	
ENSG00000282213	IGHV1-3	CHR_HSCHR14_3_CTG1	106005866	106006345	
ENSG00000282223	IGHV4-4	CHR_HSCHR14_3_CTG1	106012693	106013191	
ENSG00000164253	WDR41	5	77425970	77620611	q14.1
ENSG00000226858	ZFP57	CHR_HSCHR6_MHC_COX_CTG1	29668984	29677737	
ENSG00000282678		CHR_HSCHR14_3_CTG1	106025916	106026401	
ENSG00000189223	PAX8-AS1	2	113211522	113276581	q14.1
ENSG00000277318	IGHV2-5	CHR_HSCHR14_3_CTG1	106038673	106039136	
ENSG00000237399	PITRM1-AS1	10	3141632	3167972	p15.2
ENSG00000282066	IGHVIII-5-1	CHR_HSCHR14_3_CTG1	106040437	106040535	
ENSG00000141522	ARHGDIA	17	81867721	81871406	q25.3
ENSG00000233656		6	11417350	11481239	p24.2
ENSG00000282139	IGHVIII-5-2	CHR_HSCHR14_3_CTG1	106046371	106046631	
ENSG00000164949	GEM	8	94249253	94262350	q22.1
ENSG00000278419		10	3134566	3145166	p15.2
ENSG00000242753		6	11487226	11515710	p24.2
ENSG00000132376	INPP5K	17	1494571	1516888	p13.3
ENSG00000265798		17	31038575	31059121	q11.2
ENSG00000107959	PITRM1	10	3137728	3172841	p15.2
ENSG00000218020	THAP12P5	6	11514192	11516466	p24.2
ENSG00000281944	IGHV3-6	CHR_HSCHR14_3_CTG1	106056320	106056769	
ENSG00000235507	ZDHHC20P1	CHR_HSCHR6_MHC_COX_CTG1	29704757	29705179	
ENSG00000237854	LINC00674	17	68101908	68115518	q24.2
ENSG00000282211	IGHV3-7	CHR_HSCHR14_3_CTG1	106062920	106063454	
ENSG00000168026	TTC21A	3	39107704	39138903	p22.2
ENSG00000171135	JAGN1	3	9890554	9894349	p25.3
ENSG00000205269	TMEM170B	6	11538278	11583524	p24.2
ENSG00000185862	EVI2B	17	31303766	31314112	q11.2
ENSG00000277476		17	68133201	68135935	q24.2
ENSG00000278730		17	68126666	68129586	q24.2
ENSG00000204264	PSMB8	6	32840717	32844703	p21.32
ENSG00000267023	LRRC37A16P	17	68125777	68152468	q24.2
ENSG00000282644		CHR_HSCHR14_3_CTG1	106088893	106089344	
ENSG00000282401		CHR_HSCHR14_3_CTG1	106108743	106109178	
ENSG00000271897		6	11607552	11607981	p24.1
ENSG00000282322	IGHV3-11	CHR_HSCHR14_3_CTG1	106117406	106117975	
ENSG00000274561		17	68131462	68131907	q24.2
ENSG00000281964	IGHVIII-11-1	CHR_HSCHR14_3_CTG1	106120978	106121244	
ENSG00000282366	IGHV1-12	CHR_HSCHR14_3_CTG1	106123191	106123480	
ENSG00000267352	SH3GL1P3	17	68134675	68135604	q24.2
ENSG00000126861	OMG	17	31272013	31297539	q11.2
ENSG00000226803	ZNF451-AS1	6	57114894	57174236	p12.1
ENSG00000149231	CCDC82	11	96352769	96389956	q21
ENSG00000266985		19	33555568	33557470	q13.11
ENSG00000010361	FUZ	19	49806869	49817376	q13.33
ENSG00000232429	RPL21P131	19	33589206	33589688	q13.11
ENSG00000262785	PKLR	CHR_HSCHR1_2_CTG31	155305243	155316838	
ENSG00000264107		17	31090787	31095450	q11.2
ENSG00000260160		19	52058490	52063703	q13.41
ENSG00000124302	CHST8	19	33621955	33773509	q13.11
ENSG00000256087	ZNF432	19	52031379	52095738	q13.41
ENSG00000112210	RAB23	6	57186992	57222314	p11.2
ENSG00000180549	FUT7	9	137030174	137033010	q34.3
ENSG00000115257	PCSK4	19	1481428	1490752	p13.3
ENSG00000130513	GDF15	19	18374731	18389176	p13.11
ENSG00000107331	ABCA2	9	137007227	137028922	q34.3
ENSG00000235685		X	40514895	40515508	p11.4
ENSG00000173557	C2orf70	2	26562582	26579532	p23.3
ENSG00000242683	RPL12P21	5	139035148	139035987	q31.2
ENSG00000281398	SNHG4	5	139274102	139283477	q31.2
ENSG00000255215	OR4R1P	11	48486363	48486825	p11.2
ENSG00000237388	OR4A47	11	48488717	48489780	p11.2
ENSG00000255113	OR4A48P	11	48492026	48492416	p11.2
ENSG00000236710		11	3084393	3085443	p15.4
ENSG00000255304	OR4A46P	11	48496348	48497280	p11.2
ENSG00000228672	PROB1	5	139390592	139395713	q31.2
ENSG00000276672		13	33846190	33850825	q13.2
ENSG00000235768	BRD7P5	13	94757451	94759272	q32.1
ENSG00000102021	LUZP4	X	115289727	115307556	q23
ENSG00000133119	RFC3	13	33818049	33966558	q13.2
ENSG00000237924	RPL21P112	13	94760553	94761015	q32.1
ENSG00000157884	CIB4	2	26581202	26641368	p23.3
ENSG00000244217	RPS4XP10	8	94352923	94353653	q22.1
ENSG00000197608	ZNF841	19	52064466	52095765	q13.41
ENSG00000280451		6	93811825	93813036	q16.1
ENSG00000231680		11	64394342	64395831	q13.1
ENSG00000282703	GLIS2-AS1	CHR_HSCHR16_3_CTG1	4324667	4328340	
ENSG00000229600		6	93886900	93889410	q16.1
ENSG00000231755	CHODL-AS1	21	17835016	17885608	q21.1
ENSG00000274636	GLIS2	CHR_HSCHR16_3_CTG1	4314761	4339597	
ENSG00000204261	PSMB8-AS1	6	32844086	32846495	p21.32
ENSG00000231143		6	94163920	94194658	q16.1
ENSG00000260962	LINC00557	13	94960041	94961319	q32.1
ENSG00000240590	RPSAP48	8	110105076	110105964	q23.2
ENSG00000220370		6	94344737	94344962	q16.1
ENSG00000253956		8	110334743	110349607	q23.2
ENSG00000254832	OR4A40P	11	48512273	48513220	p11.2
ENSG00000260765	CES1P2	16	55728115	55750111	q12.2
ENSG00000215369	RPL37P3	21	17894193	17894485	q21.1
ENSG00000272631		10	86749754	86756298	q23.2
ENSG00000112208	BAG2	6	57172326	57189833	p12.1
ENSG00000255534	OR4A43P	11	48526064	48526971	p11.2
ENSG00000148300	REXO4	9	133406059	133418096	q34.2
ENSG00000275055		19	52049007	52049754	q13.41
ENSG00000279796		10	114424445	114427398	q25.3
ENSG00000204815	TTC25	17	41930635	41965651	q21.2
ENSG00000279403		6	94397664	94398829	q16.1
ENSG00000224728	IMPDH1P8	3	15878047	15879571	p25.1
ENSG00000112273	HDGFL1	6	22569493	22571666	p22.3
ENSG00000263324	HCN3	CHR_HSCHR1_2_CTG31	155292987	155305252	
ENSG00000267708		17	68152776	68159043	q24.2
ENSG00000197575	RPS17P2	5	116716243	116716650	q23.1
ENSG00000280123		8	94427712	94429888	q22.1
ENSG00000278903		21	6318434	6360415	p12
ENSG00000251311	LINC02214	5	116742991	116762209	q23.1
ENSG00000181191	PJA1	X	69160851	69165793	q13.1
ENSG00000265817	FSBP	8	94372170	94436952	q22.1
ENSG00000248522	SBF1P1	8	55449509	55455139	q12.1
ENSG00000253976		8	55135203	55142358	q12.1
ENSG00000134809	TIMM10	11	57528463	57530803	q12.1
ENSG00000206579	XKR4	8	55102389	55542054	q12.1
ENSG00000112200	ZNF451	6	57086844	57170307	p12.1
ENSG00000249593		5	139012647	139051203	q31.2
ENSG00000270484		6	94442030	94443809	q16.1
ENSG00000238246		10	20070805	20091784	p12.31
ENSG00000216853	MTCYBP36	6	94446740	94447179	q16.1
ENSG00000131386	GALNT15	3	16174649	16231992	p25.1
ENSG00000120594	PLXDC2	10	19816239	20289856	p12.31
ENSG00000219627	CYCSP17	6	95504182	95504496	q16.1
ENSG00000249150		5	116820993	116830187	q23.1
ENSG00000120725	SIL1	5	138946720	139293557	q31.2
ENSG00000236836	PCYT1B-AS1	X	24650073	24658237	p22.11
ENSG00000261366	MANEA-DT	6	95575183	95577450	q16.1
ENSG00000253857		8	55161483	55164727	q12.1
ENSG00000250650		5	117019548	117019679	q23.1
ENSG00000102230	PCYT1B	X	24558087	24672677	p22.11
ENSG00000197275	RAD54B	8	94371960	94475109	q22.1
ENSG00000254357		8	55517240	55520977	q12.1
ENSG00000250949		5	117031200	117038569	q23.1
ENSG00000274374		X	115424064	115425600	q23
ENSG00000172469	MANEA	6	95577543	95609457	q16.1
ENSG00000271021		X	115454733	115455194	q23
ENSG00000213607	OR4A45P	11	48579436	48580336	p11.2
ENSG00000179774	ATOH7	10	68230624	68232103	q21.3
ENSG00000233590		10	68233251	68242379	q21.3
ENSG00000275038		5	171305981	171308755	q35.1
ENSG00000234102	KRT19P4	10	68260557	68261499	q21.3
ENSG00000128923	MINDY2	15	58771192	58861900	q21.3
ENSG00000164438	TLX3	5	171309284	171312134	q35.1
ENSG00000107651	SEC23IP	10	119892711	119944658	q26.11
ENSG00000254144		8	143542110	143542400	q24.3
ENSG00000254859		8	143541973	143549729	q24.3
ENSG00000267262		19	6067953	6077119	p13.3
ENSG00000213393		5	171345343	171345630	q35.1
ENSG00000266983		19	5978403	6020363	p13.3
ENSG00000230581	ACTG1P14	9	6834456	6835577	p24.1
ENSG00000267589		19	6072823	6073527	p13.3
ENSG00000224972		9	6902670	6978859	p24.1
ENSG00000254012	RPL10P8	5	171366299	171366611	q35.1
ENSG00000231108	PRELID3BP11	9	6734598	6735076	p24.1
ENSG00000233493	TMEM238	19	55379245	55384598	q13.42
ENSG00000254256	RPSAP71	5	171365595	171367693	q35.1
ENSG00000256968	SNRPEP2	9	6748703	6748981	p24.1
ENSG00000243744		5	13637919	13638381	p15.2
ENSG00000282700		CHR_HSCHR15_3_CTG8	44679746	44684155	
ENSG00000236529		7	65840212	65840596	q11.21
ENSG00000265728		18	10594590	10604798	p11.22
ENSG00000105369	CD79A	19	41877120	41881372	q13.2
ENSG00000271826	PLS3-AS1	X	115518182	115562731	q23
ENSG00000282077	PATL2	CHR_HSCHR15_3_CTG8	44711032	44711328	
ENSG00000132591	ERAL1	17	28854938	28861067	q11.2
ENSG00000196715	VKORC1L1	7	65873267	65959563	q11.21
ENSG00000115255	REEP6	19	1490747	1497927	p13.3
ENSG00000067057	PFKP	10	3066333	3137712	p15.2
ENSG00000102024	PLS3	X	115561174	115650861	q23
ENSG00000198870	STKLD1	9	133376367	133406096	q34.2
ENSG00000267517	LINC01855	19	16065737	16066312	p13.12
ENSG00000282267	IGHV7-27	CHR_HSCHR14_3_CTG1	106318594	106319007	
ENSG00000253843		8	48193850	48194627	q11.21
ENSG00000225102		6	11990343	11992012	p24.1
ENSG00000253654		8	48294026	48294694	q11.21
ENSG00000224594	RPL29P19	8	48384590	48385049	q11.21
ENSG00000282726	IGHV4-28	CHR_HSCHR14_3_CTG1	106325025	106325531	
ENSG00000279881		8	48428143	48431041	q11.21
ENSG00000251027	LINC01950	5	106815197	107011014	q21.3
ENSG00000114742	WDR48	3	39051998	39096671	p22.2
ENSG00000254906		11	20670425	20671297	p15.1
ENSG00000221994	ZNF630	X	47983356	48071658	p11.23
ENSG00000162981	FAM84A	2	14632686	14650814	p24.3
ENSG00000225477		11	21283779	21284955	p15.1
ENSG00000253140		8	48515852	48517089	q11.21
ENSG00000165973	NELL1	11	20669551	21575681	p15.1
ENSG00000282286	IGHV3-13	CHR_HSCHR14_3_CTG1	106130311	106130843	
ENSG00000253892		8	48657260	48658894	q11.21
ENSG00000226222		X	24632257	24632601	p22.11
ENSG00000253455		8	48620465	48623895	q11.21
ENSG00000228772		6	22589137	22593833	p22.3
ENSG00000253688		8	48551527	48556441	q11.21
ENSG00000253702		8	48597458	48621018	q11.21
ENSG00000278740		17	68188547	68189165	q24.2
ENSG00000233358		6	22744395	23031780	p22.3
ENSG00000233858		8	48590401	48594621	q11.21
ENSG00000267731		17	68189884	68192802	q24.2
ENSG00000224184	MIR3681HG	2	11848622	12578348	p25.1
ENSG00000253608		8	48551567	48698510	q11.21
ENSG00000218476		6	23102680	23103546	p22.3
ENSG00000267472	ARHGAP27P2	17	68198921	68199596	q24.2
ENSG00000274712		17	68205489	68207493	q24.2
ENSG00000250273	PSMC1P5	5	107195156	107195332	q21.3
ENSG00000168887	C2orf68	2	85606654	85612066	p11.2
ENSG00000070614	NDST1	5	150485818	150558211	q33.1
ENSG00000242747		15	58869659	58870134	q22.1
ENSG00000099204	ABLIM1	10	114431113	114685003	q25.3
ENSG00000095951	HIVEP1	6	12008762	12164999	p24.1
ENSG00000259393		15	58967046	58967808	q22.1
ENSG00000184349	EFNA5	5	107376889	107670895	q21.3
ENSG00000104518	GSDMD	8	143553207	143563062	q24.3
ENSG00000241640		15	59049399	59050385	q22.2
ENSG00000253107		8	110555408	110556518	q23.2
ENSG00000170469	SPATA24	5	139396563	139404088	q31.2
ENSG00000259353		15	58856831	58865063	q22.1
ENSG00000197813		19	49331617	49340303	q13.33
ENSG00000268686		19	49368705	49388081	q13.33
ENSG00000268157		19	49356152	49357769	q13.33
ENSG00000137776	SLTM	15	58879045	58933653	q22.1
ENSG00000104901	DKKL1	19	49361783	49375116	q13.33
ENSG00000111863	ADTRP	6	11712054	11807046	p24.1
ENSG00000265948		18	21316878	21317795	q11.1
ENSG00000265751		18	21380286	21451017	q11.1
ENSG00000261200		16	33541842	33545812	p11.2
ENSG00000124549	BTN2A3P	6	26421391	26432383	p22.2
ENSG00000168883	USP39	2	85602856	85649282	p11.2
ENSG00000141449	GREB1L	18	21242242	21525417	q11.1
ENSG00000265100		17	68246629	68247938	q24.2
ENSG00000135940	COX5B	2	97646040	97648383	q11.2
ENSG00000272411		5	148970340	148970653	q32
ENSG00000166439	RNF169	11	74748868	74842413	q13.4
ENSG00000277518	MUC6	CHR_HSCHR11_2_CTG1	1012821	1043528	
ENSG00000196704	AMZ2	17	68247574	68257164	q24.2
ENSG00000169247	SH3TC2	5	148923639	149063163	q32
ENSG00000276790		17	47279526	47280047	q21.32
ENSG00000253347		17	47409322	47423526	q21.32
ENSG00000261240		16	2112335	2113342	p13.3
ENSG00000178852	EFCAB13	17	47323290	47441312	q21.32
ENSG00000244073	RPS4XP6	5	37085056	37085852	p13.2
ENSG00000225378		2	26671254	26674464	p23.3
ENSG00000278879		11	74830574	74832510	q13.4
ENSG00000167515	TRAPPC2L	16	88856220	88862686	q24.3
ENSG00000225024		2	26678219	26678510	p23.3
ENSG00000008710	PKD1	16	2088710	2135898	p13.3
ENSG00000147118	ZNF182	X	47974851	48003978	p11.23
ENSG00000275246	TLCD2	CHR_HSCHR17_1_CTG2	1702790	1710438	
ENSG00000254333	NDST1-AS1	5	150475531	150485968	q33.1
ENSG00000229896		6	12007670	12008856	p24.1
ENSG00000221818	EBF2	8	25841730	26045397	p21.2
ENSG00000108468	CBX1	17	48070052	48101521	q21.32
ENSG00000254636	ARMS2	10	122454653	122457352	q26.13
ENSG00000104894	CD37	19	49335171	49343335	q13.33
ENSG00000282702		CHR_HSCHR14_3_CTG1	106331887	106332323	
ENSG00000171303	KCNK3	2	26692690	26733420	p23.3
ENSG00000187522	HSPA14	10	14838164	14871741	p13
ENSG00000282777	IGHV3-30	CHR_HSCHR14_3_CTG1	106335853	106336384	
ENSG00000261466		16	33548297	33554408	p11.2
ENSG00000114745	GORASP1	3	39096659	39108363	p22.2
ENSG00000277541	ZNF630-AS1	X	48056310	48066583	p11.23
ENSG00000267116		18	12192203	12192934	p11.21
ENSG00000171489	SPACA5	X	48004336	48009729	p11.23
ENSG00000282136	IGHVII-30-1	CHR_HSCHR14_3_CTG1	106343495	106343726	
ENSG00000279347		8	119838736	119840385	q24.12
ENSG00000282356	IGHV3-30-2	CHR_HSCHR14_3_CTG1	106345166	106345604	
ENSG00000136982	DSCC1	8	119833976	119856010	q24.12
ENSG00000279285		18	12199345	12200089	p11.21
ENSG00000282404		CHR_HSCHR14_3_CTG1	106350054	106350526	
ENSG00000231492		11	64420391	64432670	q13.1
ENSG00000262413		17	81867721	81868552	q25.3
ENSG00000197779	ZNF81	X	47836902	48002561	p11.23
ENSG00000243053	RPL31P58	17	28802444	28802822	q11.2
ENSG00000267643		18	12200779	12201979	p11.21
ENSG00000181908		11	64449074	64451657	q13.1
ENSG00000264138		17	28848860	28849592	q11.2
ENSG00000280325		7	84939335	84940256	q21.11
ENSG00000232500		11	64500853	64505386	q13.1
ENSG00000232019		7	84939349	84940245	q21.11
ENSG00000086065	CHMP5	9	33264879	33282069	p13.3
ENSG00000173065	FAM222B	17	28755978	28855232	q11.2
ENSG00000261512		16	46622861	46624451	q11.2
ENSG00000228652	OR2W1	CHR_HSCHR6_MHC_MANN_CTG1	29044178	29045205	
ENSG00000237363		11	64531044	64532970	q13.1
ENSG00000282569	IGHVIII-13-1	CHR_HSCHR14_3_CTG1	106143058	106143348	
ENSG00000282796	IGHV1-14	CHR_HSCHR14_3_CTG1	106146662	106146902	
ENSG00000233019	OR2P1P	CHR_HSCHR6_MHC_MANN_CTG1	29071788	29072563	
ENSG00000282290	IGHV3-15	CHR_HSCHR14_3_CTG1	106154393	106154934	
ENSG00000245330		8	119867419	119874488	q24.12
ENSG00000109956	B3GAT1	11	134378504	134411918	q25
ENSG00000279198		19	16074293	16077395	p13.12
ENSG00000153885	KCTD15	19	33795933	33815763	q13.11
ENSG00000282631	IGHVII-15-1	CHR_HSCHR14_3_CTG1	106164354	106164573	
ENSG00000155792	DEPTOR	8	119873717	120050913	q24.12
ENSG00000282653	IGHV3-16	CHR_HSCHR14_3_CTG1	106165976	106166501	
ENSG00000223360		2	12598987	12605145	p24.3
