affy_hg_u133_plus_2	hgnc_symbol	chromosome_name	start_position	end_position	band
	STON1	2	48529383	48598513	p16.3
213413_at	STON1	2	48529383	48598513	p16.3
231795_at	STON1	2	48529383	48598513	p16.3
212931_at	TCF20	CHR_HSCHR22_1_CTG1	42147859	42203293	
	TCF20	CHR_HSCHR22_1_CTG1	42147859	42203293	
1561405_s_at	CATSPER2	15	43628503	43668118	q15.3
217588_at	CATSPER2	15	43628503	43668118	q15.3
1553323_a_at	CATSPER2	15	43628503	43668118	q15.3
1561155_at	CATSPER2	15	43628503	43668118	q15.3
	CATSPER2	15	43628503	43668118	q15.3
224204_x_at	ARNTL2	12	27332854	27425289	p11.23
223586_at	ARNTL2	12	27332854	27425289	p11.23
220658_s_at	ARNTL2	12	27332854	27425289	p11.23
	ARNTL2	12	27332854	27425289	p11.23
205027_s_at	MAP3K8	10	30433937	30461833	p11.23
	MAP3K8	10	30433937	30461833	p11.23
230350_at	TIAL1	10	119571802	119597029	q26.11
202405_at	TIAL1	10	119571802	119597029	q26.11
202406_s_at	TIAL1	10	119571802	119597029	q26.11
217500_at	TIAL1	10	119571802	119597029	q26.11
	TIAL1	10	119571802	119597029	q26.11
209179_s_at	MBOAT7	CHR_HSCHR19_4_CTG3_1	54173853	54190413	
	MBOAT7	CHR_HSCHR19_4_CTG3_1	54173853	54190413	
211037_s_at	MBOAT7	CHR_HSCHR19_4_CTG3_1	54173853	54190413	
217983_s_at	RNASET2	6	166929504	166957191	q27
217984_at	RNASET2	6	166929504	166957191	q27
239388_at	RNASET2	6	166929504	166957191	q27
232722_at	RNASET2	6	166929504	166957191	q27
1556201_at	RNASET2	6	166929504	166957191	q27
	C9orf43	9	113410054	113429684	q32
1554280_a_at	C9orf43	9	113410054	113429684	q32
	HMGN1P28	17	60851382	60851745	q23.2
213084_x_at	RPL23AP74	17	61069871	61070341	q23.2
208834_x_at	RPL23AP74	17	61069871	61070341	q23.2
208825_x_at	RPL23AP74	17	61069871	61070341	q23.2
228978_at	TBX2-AS1	17	61393456	61411555	q23.2
1555216_a_at	TBX2-AS1	17	61393456	61411555	q23.2
230031_at	HSPA5	9	125234853	125241330	q33.3
211936_at	HSPA5	9	125234853	125241330	q33.3
204424_s_at	LMO3	12	16548373	16610594	p12.3
	LMO3	12	16548373	16610594	p12.3
		2	172464262	172466022	q31.1
200916_at	TAGLN2P1	8	106697427	106698013	q23.1
206050_s_at	RNH1	CHR_HSCHR11_1_CTG8	494512	507300	
	RNH1	CHR_HSCHR11_1_CTG8	494512	507300	
216798_at	RNH1	CHR_HSCHR11_1_CTG8	494512	507300	
		8	106520474	106657548	q23.1
	HMGB1P25	2	9018293	9018899	p25.1
		2	172480840	172556596	q31.1
	RPL30P3	2	9081395	9081727	p25.1
218197_s_at	OXR1	8	106359476	106752694	q23.1
223879_s_at	OXR1	8	106359476	106752694	q23.1
222553_x_at	OXR1	8	106359476	106752694	q23.1
	OXR1	8	106359476	106752694	q23.1
		6	6680309	6683633	p25.1
		2	9103440	9105114	p25.1
		17	61354763	61355155	q23.2
		17	61069856	61070356	q23.2
		6	6685148	6686984	p25.1
		17	61361668	61400243	q23.2
207240_s_at	LHCGR	2	48686775	48755730	p16.3
	LHCGR	2	48686775	48755730	p16.3
		6	6692744	6711002	p25.1
		16	3076911	3087100	p13.3
		6	127632958	127635321	q22.33
		17	60727165	60727482	q23.2
236318_x_at	FBLL1	5	168529116	168530634	q34
244071_at	FBLL1	5	168529116	168530634	q34
		17	61130704	61135964	q23.2
		5	53206561	53207176	q11.2
211358_s_at	CIZ1	9	128166064	128204383	q34.11
205516_x_at	CIZ1	9	128166064	128204383	q34.11
213977_s_at	CIZ1	9	128166064	128204383	q34.11
213976_at	CIZ1	9	128166064	128204383	q34.11
	CIZ1	9	128166064	128204383	q34.11
241524_at	CIZ1	9	128166064	128204383	q34.11
1553815_a_at	TCEANC	X	13653189	13681964	p22.2
1563863_x_at	TCEANC	X	13653189	13681964	p22.2
1563862_at	TCEANC	X	13653189	13681964	p22.2
	TCEANC	X	13653189	13681964	p22.2
40560_at	TBX2	17	61399896	61409466	q23.2
205993_s_at	TBX2	17	61399896	61409466	q23.2
213417_at	TBX2	17	61399896	61409466	q23.2
		6	127654860	127655278	q22.33
		5	53413504	53414260	q11.2
	WEE2	CHR_HSCHR7_1_CTG6	141714361	141737279	
		6	127659690	127660579	q22.33
	HNRNPA1P32	10	30517616	30518861	p11.23
	LINC02096	17	14834638	14900554	p12
		6	127659424	127660338	q22.33
		2	9106593	9109865	p25.1
	LINC02536	6	127664554	127681555	q22.33
		10	30553854	30554483	p11.23
		2	9115197	9116884	p25.1
		6	6758276	6759291	p25.1
203828_s_at	IL32	16	3065297	3082192	p13.3
	IL32	16	3065297	3082192	p13.3
		10	30576699	30580182	p11.23
1554609_at		11	74493366	74498533	q13.4
221850_x_at		10	73674295	73730466	q22.2
221971_x_at		10	73674295	73730466	q22.2
		2	9143166	9146106	p25.1
	BTF3P7	6	6794915	6795402	p25.1
	LIPT2	11	74491712	74493733	q13.4
	KRT39	CHR_HSCHR17_4_CTG4	40958544	40967019	
218433_at	PANK3	5	168548495	168579600	q34
221751_at	PANK3	5	168548495	168579600	q34
	PANK3	5	168548495	168579600	q34
		6	6901022	6918715	p25.1
243937_x_at		10	73703735	73713581	q22.2
238924_at		10	73703735	73713581	q22.2
242393_x_at		10	73703735	73713581	q22.2
		6	6993191	6995554	p25.1
202591_s_at	SSBP1	CHR_HSCHR7_1_CTG6	141744329	141752534	
1562442_a_at	SSBP1	CHR_HSCHR7_1_CTG6	141744329	141752534	
	SSBP1	CHR_HSCHR7_1_CTG6	141744329	141752534	
		10	73699151	73730487	q22.2
204948_s_at	FST	5	53480409	53487134	q11.2
226847_at	FST	5	53480409	53487134	q11.2
207345_at	FST	5	53480409	53487134	q11.2
		17	61382785	61384680	q23.2
	LINC01668	21	42777819	42779994	q22.3
	TRPM4	19	49157741	49211836	q13.33
219360_s_at	TRPM4	19	49157741	49211836	q13.33
	KRT18P61	17	60810165	60811462	q23.2
		21	42781074	42782229	q22.3
243313_at	SYNPO2L	10	73644881	73663803	q22.2
219804_at	SYNPO2L	10	73644881	73663803	q22.2
	SYNPO2L	10	73644881	73663803	q22.2
		21	42831040	42836477	q22.3
208828_at	POLE3	9	113407235	113410672	q32
	POLE3	9	113407235	113410672	q32
		20	37165774	37166312	q11.23
	BCAS3	17	60677453	61392838	q23.2
220488_s_at	BCAS3	17	60677453	61392838	q23.2
		7	44601032	44601487	p13
236618_at	MROH8	20	37101226	37179588	q11.23
232185_at	MROH8	20	37101226	37179588	q11.23
	MROH8	20	37101226	37179588	q11.23
	SLC2A3P1	5	168552277	168553727	q34
1554128_at	ADIG	20	38581195	38588463	q11.23
1554129_a_at	ADIG	20	38581195	38588463	q11.23
	ADIG	20	38581195	38588463	q11.23
	RARRES2P7	16	35414279	35414747	p11.1
	AGGF1P5	16	35420291	35421209	p11.1
	C2orf69P3	16	35425364	35426483	p11.1
205382_s_at	CFD	CHR_HSCHR19_5_CTG2	859680	863666	
		10	73654039	73674719	q22.2
		16	35435303	35436341	p11.1
	ZNF971P	16	35446898	35449411	p11.1
	BMS1P4	10	73715843	73730469	q22.2
		6	79278105	79278427	q14.1
	RPS3AP38	10	67960702	67961464	q21.3
	FRG2DP	16	35477414	35480481	p11.1
216827_at		6	79326568	79327207	q14.1
		6	79354443	79354713	q14.1
	LINC02144	5	87713135	87733269	q14.3
225989_at	HERC4	10	67921899	68075348	q21.3
208055_s_at	HERC4	10	67921899	68075348	q21.3
225988_at	HERC4	10	67921899	68075348	q21.3
208054_at	HERC4	10	67921899	68075348	q21.3
	HERC4	10	67921899	68075348	q21.3
232026_at	HERC4	10	67921899	68075348	q21.3
		X	119693568	119696059	q24
	RARRES2P10	16	35485766	35486225	p11.1
		6	79406240	79406774	q14.1
	SOWAHD	X	119758613	119760164	q24
	AGGF1P6	16	35489237	35490212	p11.1
240974_at		6	79420297	79421305	q14.1
		12	22460519	22463914	p12.1
		2	30677762	30679895	p23.1
		19	33283978	33285739	q13.11
208695_s_at	RPL39	X	119786504	119791643	q24
		17	69433084	69435533	q24.3
	C2orf69P2	16	35492324	35493446	p11.1
		17	69477139	69501755	q24.3
		16	35491174	35492395	p11.1
		22	28814914	28815662	q12.1
	CALR	19	12938578	12944489	p13.13
212953_x_at	CALR	19	12938578	12944489	p13.13
214315_x_at	CALR	19	12938578	12944489	p13.13
200935_at	CALR	19	12938578	12944489	p13.13
		22	28800683	28848559	q12.1
1556814_a_at		22	28800683	28848559	q12.1
230514_s_at	LYZL2	10	30611779	30629762	p11.23
229569_at	MAP2K6	17	69414698	69553861	q24.3
205698_s_at	MAP2K6	17	69414698	69553861	q24.3
205699_at	MAP2K6	17	69414698	69553861	q24.3
	MAP2K6	17	69414698	69553861	q24.3
	LINC01423	21	38323635	38333421	q22.2
204039_at	CEBPA	19	33299934	33302564	q13.11
223212_at	ZDHHC16	10	97446131	97457370	q24.1
	ZDHHC16	10	97446131	97457370	q24.1
	RPS26P30	7	20843627	20843961	p21.1
		19	33301279	33301940	q13.11
	LINC01162	7	20835431	21023148	p21.1
		19	33299934	33301168	q13.11
	ASS1P11	7	21220213	21221428	p15.3
		22	28835893	28836137	q12.1
	DBIP1	6	79436908	79437167	q14.1
		8	60906059	60906452	q12.2
		16	35493754	35496457	p11.1
		7	21400920	21401613	p15.3
237730_at		16	35505093	35506462	p11.1
	TP53TG3HP	16	35506592	35507170	p11.1
		15	51457286	51460582	q21.2
224779_s_at	FAM96A	15	64072559	64094018	q22.31
	FAM96A	15	64072559	64094018	q22.31
	MRPS17P5	6	127909833	127910052	q22.33
	SVILP1	10	30655489	30717266	p11.23
220465_at	CEBPA-DT	19	33302857	33305054	q13.11
1558972_s_at	THEMIS	6	127708072	127918631	q22.33
1558971_at	THEMIS	6	127708072	127918631	q22.33
	THEMIS	6	127708072	127918631	q22.33
220190_s_at	STON1-GTF2A1L	2	48529925	48776517	p16.3
	STON1-GTF2A1L	2	48529925	48776517	p16.3
		16	68814330	68823526	q22.1
		19	33305036	33309387	q13.11
	CAPN11	6	44158811	44184402	p21.1
207962_at	CAPN11	6	44158811	44184402	p21.1
		15	51414097	51498833	q21.2
	NHLRC1	6	18120440	18122687	p22.3
	EIF1P7	2	9271292	9271628	p25.1
206414_s_at	ASAP2	2	9206765	9405683	p25.1
	ASAP2	2	9206765	9405683	p25.1
201131_s_at	CDH1	16	68737225	68835548	q22.1
201130_s_at	CDH1	16	68737225	68835548	q22.1
	CDH1	16	68737225	68835548	q22.1
244401_at	LCA5	6	79484991	79537458	q14.1
229953_x_at	LCA5	6	79484991	79537458	q14.1
242006_at	LCA5	6	79484991	79537458	q14.1
	LCA5	6	79484991	79537458	q14.1
212820_at	DMXL2	15	51447711	51622833	q21.2
	DMXL2	15	51447711	51622833	q21.2
215761_at	DMXL2	15	51447711	51622833	q21.2
226913_s_at	SOX8	16	981808	986979	p13.3
		15	43663654	43684339	q15.3
216808_at	KRT18P27	13	90230384	90231682	q31.3
200725_x_at	RPL10P9	5	168616352	168616996	q34
		8	102417979	102418953	q22.3
229499_at	CAPN13	2	30722771	30820542	p23.1
	CAPN13	2	30722771	30820542	p23.1
1552801_at	CAPN13	2	30722771	30820542	p23.1
	HSPE1P14	8	102451763	102452483	q22.3
1563063_at	LINC01049	13	90493287	90535080	q31.3
203671_at	TPMT	6	18128311	18155074	p22.3
203672_x_at	TPMT	6	18128311	18155074	p22.3
	RPS12P15	8	102503753	102504137	q22.3
1564287_at	LINC00410	13	90890954	90926597	q31.3
		8	102528740	102538668	q22.3
	BRK1P2	13	91023732	91023954	q31.3
1561405_s_at		15	43614208	43632283	q15.3
	PLEKHD1	14	69484692	69531551	q24.1
	LINC00380	13	91087254	91089593	q31.3
234573_at		14	20995837	20999163	q11.2
235452_at		15	43642389	43643023	q15.3
212952_at		19	12944118	12944487	p13.13
214316_x_at		19	12944118	12944487	p13.13
214485_at	ODF1	8	102551572	102561017	q22.3
	ODF1	8	102551572	102561017	q22.3
	PDIA3P2	15	43649123	43649280	q15.3
218366_x_at	METTL17	14	20989770	20997035	q11.2
223528_s_at	METTL17	14	20989770	20997035	q11.2
223988_x_at	METTL17	14	20989770	20997035	q11.2
	METTL17	14	20989770	20997035	q11.2
1561306_s_at	STRC	15	43599563	43618800	q15.3
	STRC	15	43599563	43618800	q15.3
240048_at	STRC	15	43599563	43618800	q15.3
		6	91390313	91393000	q15
221148_at		16	18570448	18571683	p12.3
	LINC00379	13	91127613	91131407	q31.3
214033_at	ABCC6P1	16	18571162	18598328	p12.3
236205_at	ABCC6P1	16	18571162	18598328	p12.3
	ABCC6P1	16	18571162	18598328	p12.3
		8	60910053	60966557	q12.2
228305_at	ZNF565	19	36182060	36246257	q13.12
	ZNF565	19	36182060	36246257	q13.12
1561476_at	CASC6	6	91629915	91690428	q15
	RPN2	20	37178410	37241623	q11.23
208689_s_at	RPN2	20	37178410	37241623	q11.23
213399_x_at	RPN2	20	37178410	37241623	q11.23
213491_x_at	RPN2	20	37178410	37241623	q11.23
241646_s_at		7	107579557	107580057	q22.3
	MTATP6P25	6	91726810	91727070	q15
217657_at	WBP1LP2	7	107628553	107629550	q22.3
	PPIAP23	13	91272081	91272577	q31.3
1553634_a_at	WEE2-AS1	CHR_HSCHR7_1_CTG6	141710346	141744354	
	WEE2-AS1	CHR_HSCHR7_1_CTG6	141710346	141744354	
		8	60965802	60967775	q12.2
	MTND4LP19	6	91727159	91727324	q15
	MTCO1P56	6	91727282	91727505	q15
	ZNRF3-IT1	22	28992721	29018620	q12.1
		8	60937705	60939871	q12.2
226360_at	ZNRF3	22	28883592	29057487	q12.1
	ZNRF3	22	28883592	29057487	q12.1
		5	169013227	169037998	q35.1
239974_at		5	169013227	169037998	q35.1
	ZNF146	19	36214602	36238774	q13.12
200050_at	ZNF146	19	36214602	36238774	q13.12
1554433_a_at	ZNF146	19	36214602	36238774	q13.12
		16	991151	1000926	p13.3
240041_at	PTCHD1	X	23334016	23404372	p22.11
1552848_a_at	PTCHD1	X	23334016	23404372	p22.11
	PTCHD1	X	23334016	23404372	p22.11
236658_at	RPS6KA2-AS1	6	166903698	166904835	q27
215510_at	ETV2	19	35641745	35644871	q13.12
	ETV2	19	35641745	35644871	q13.12
225082_at	CPSF3	2	9423568	9473101	p25.1
	CPSF3	2	9423568	9473101	p25.1
225208_s_at	RAMMETL	6	166586124	166586477	q27
225210_s_at	RAMMETL	6	166586124	166586477	q27
		X	23351013	23351450	p22.11
202332_at	TPTEP2-CSNK1E	22	38291918	38398522	q13.1
212912_at	RPS6KA2	6	166409364	166906451	q27
1557970_s_at	RPS6KA2	6	166409364	166906451	q27
204906_at	RPS6KA2	6	166409364	166906451	q27
	RPS6KA2	6	166409364	166906451	q27
201004_at	SSR4	X	153793516	153798505	q28
	SSR4	X	153793516	153798505	q28
207856_s_at	SMPD4	2	130151392	130182750	q21.1
	SMPD4	2	130151392	130182750	q21.1
		5	168654513	168667761	q34
202332_at	CSNK1E	22	38290691	38318084	q13.1
225756_at	CSNK1E	22	38290691	38318084	q13.1
226858_at	CSNK1E	22	38290691	38318084	q13.1
222015_at	CSNK1E	22	38290691	38318084	q13.1
	CSNK1E	22	38290691	38318084	q13.1
		CHR_HSCHR22_1_CTG2	38921227	38924708	
1557146_a_at	SSTR5-AS1	16	1064093	1078731	p13.3
	SSTR5-AS1	16	1064093	1078731	p13.3
		5	168993000	168995677	q34
		2	30746444	30746701	p23.1
	GTF2A1L	2	48617798	48733148	p16.3
220190_s_at	GTF2A1L	2	48617798	48733148	p16.3
1552585_s_at	GTF2A1L	2	48617798	48733148	p16.3
		CHR_HSCHR22_1_CTG2	38949113	38949127	
1561574_at		5	169012148	169013146	q35.1
238716_at		8	12194467	12196280	p23.1
203153_at	IFIT1	10	89392546	89406486	q23.31
		5	168706567	168720884	q34
	ENPP7P12	8	12205759	12206389	p23.1
	APOBEC3B-AS1	CHR_HSCHR22_1_CTG2	38961611	38968270	
203813_s_at	SLIT3	5	168661733	169301129	q35.1
203812_at	SLIT3	5	168661733	169301129	q35.1
	SLIT3	5	168661733	169301129	q35.1
216216_at	SLIT3	5	168661733	169301129	q35.1
		16	1065240	1066502	p13.3
	APOBEC3A	CHR_HSCHR22_1_CTG2	38952742	38962839	
206632_s_at	APOBEC3A	CHR_HSCHR22_1_CTG2	38952742	38962839	
214555_at	SSTR5	16	1078781	1080142	p13.3
224927_at	PPP1R18	6	30676389	30687895	p21.33
206113_s_at	RAB5A	3	19947079	19985175	p24.3
209089_at	RAB5A	3	19947079	19985175	p24.3
	RAB5A	3	19947079	19985175	p24.3
240990_at	RAB5A	3	19947079	19985175	p24.3
		10	89283765	89292125	q23.31
	IFIT1B	10	89378056	89385205	q23.31
	ZNRF3-AS1	22	29024999	29031476	q12.1
	TMEM161B-AS1	5	88268895	88436685	q14.3
229815_at	TMEM161B-AS1	5	88268895	88436685	q14.3
235406_x_at	TMEM161B-AS1	5	88268895	88436685	q14.3
230467_at	TMEM52	1	1917590	1919273	p36.33
	TMEM52	1	1917590	1919273	p36.33
201847_at	LIPA	10	89213569	89414557	q23.31
	LIPA	10	89213569	89414557	q23.31
1561557_at	LIPA	10	89213569	89414557	q23.31
236156_at	LIPA	10	89213569	89414557	q23.31
		17	28607963	28609730	q11.2
	COX6CP15	10	77433572	77433782	q22.3
1569763_at	KCNMA1-AS1	10	76888044	76980624	q22.3
	KCNMA1-AS1	10	76888044	76980624	q22.3
	FOXN1	17	28506243	28538896	q11.2
207683_at	FOXN1	17	28506243	28538896	q11.2
1558687_a_at	FOXN1	17	28506243	28538896	q11.2
		X	1732584	1763212	p22.33
		X	1767347	1768776	p22.33
1562436_at	CARS-AS1	11	3029009	3041260	p15.4
	CARS-AS1	11	3029009	3041260	p15.4
		X	39226103	39299786	p11.4
211383_s_at	WDR37	10	1049538	1132297	p15.3
1554869_at	WDR37	10	1049538	1132297	p15.3
	WDR37	10	1049538	1132297	p15.3
	LINC02357	4	26070754	26104258	p15.2
217192_s_at	PRDM1	6	106086320	106109939	q21
228964_at	PRDM1	6	106086320	106109939	q21
	PRDM1	6	106086320	106109939	q21
		4	26111865	26113839	p15.2
32811_at	MYO1C	17	1464186	1492812	p13.3
214656_x_at	MYO1C	17	1464186	1492812	p13.3
225080_at	MYO1C	17	1464186	1492812	p13.3
	MYO1C	17	1464186	1492812	p13.3
223386_at	FAM118B	11	126211414	126262986	q24.2
230009_at	FAM118B	11	126211414	126262986	q24.2
	FAM118B	11	126211414	126262986	q24.2
239318_at	FAM118B	11	126211414	126262986	q24.2
215788_at	CFAP74	1	1921951	2003837	p36.33
	CFAP74	1	1921951	2003837	p36.33
216807_at	CFAP74	1	1921951	2003837	p36.33
		2	219559083	219559626	q35
201729_s_at	KIAA0100	17	28614440	28645454	q11.2
201728_s_at	KIAA0100	17	28614440	28645454	q11.2
	KIAA0100	17	28614440	28645454	q11.2
	DEFB131D	8	12290071	12296180	p23.1
210141_s_at	INHA	2	219569162	219575713	q35
	SAP18P3	3	20007852	20008247	p24.3
	DEFB130A	8	12310962	12318316	p23.1
	POU5F1P2	8	102621509	102622331	q22.3
1552747_a_at	PP2D1	3	19979961	20012330	p24.3
	FER1L5	2	96642737	96704887	q11.2
233353_at	FER1L5	2	96642737	96704887	q11.2
1561473_at	LINC02060	5	88408982	88439090	q14.3
	LINC02060	5	88408982	88439090	q14.3
	OTOF	2	26457203	26558698	p23.3
213946_s_at	OBSL1	2	219550729	219571859	q35
212776_s_at	OBSL1	2	219550729	219571859	q35
214928_at	OBSL1	2	219550729	219571859	q35
227573_s_at	OBSL1	2	219550729	219571859	q35
	OBSL1	2	219550729	219571859	q35
227574_at	OBSL1	2	219550729	219571859	q35
212775_at	OBSL1	2	219550729	219571859	q35
		5	88382948	88383260	q14.3
	RPS3AP22	5	88381957	88382725	q14.3
209303_at	NDUFS4	5	53560633	53683340	q11.2
	NDUFS4	5	53560633	53683340	q11.2
		5	88433892	88498697	q14.3
223800_s_at	LIMS3	2	109898428	109924868	q13
	LIMS3	2	109898428	109924868	q13
212687_at	LIMS3	2	109898428	109924868	q13
	TMEM161B	5	88189633	88269476	q14.3
236227_at	TMEM161B	5	88189633	88269476	q14.3
227861_at	TMEM161B	5	88189633	88269476	q14.3
238783_at	TMEM161B	5	88189633	88269476	q14.3
244513_at	TMEM161B	5	88189633	88269476	q14.3
		20	38614913	38615476	q11.23
	ARHGAP40	20	38601934	38651035	q11.23
228414_at	KCNMA1	10	76869601	77638369	q22.3
221583_s_at	KCNMA1	10	76869601	77638369	q22.3
	KCNMA1	10	76869601	77638369	q22.3
214921_at	KCNMA1	10	76869601	77638369	q22.3
221584_s_at	KCNMA1	10	76869601	77638369	q22.3
	IGHD3-3	CHR_HSCHR14_3_CTG1	105915130	105915160	
	IGHD2-2	CHR_HSCHR14_3_CTG1	105917597	105917627	
215247_at	GPAA1P1	2	109984058	109984988	q13
229095_s_at		2	109933161	109974085	q13
229096_at		2	109933161	109974085	q13
	IGHD1-1	CHR_HSCHR14_3_CTG1	105920273	105920289	
220377_at	FAM30A	CHR_HSCHR14_3_CTG1	105918750	105933413	
206478_at	FAM30A	CHR_HSCHR14_3_CTG1	105918750	105933413	
	FAM30A	CHR_HSCHR14_3_CTG1	105918750	105933413	
	TPT1P11	2	48632856	48633353	p16.3
230718_at	HSF5	17	58420167	58488384	q22
		9	104328320	104329396	q31.1
225010_at	CCDC6	10	59788763	59906656	q21.2
204716_at	CCDC6	10	59788763	59906656	q21.2
	CCDC6	10	59788763	59906656	q21.2
	OR13F1	9	104504263	104505222	q31.1
	DEFB108E	8	12341426	12345776	p23.1
203337_x_at	ITGB1BP1	2	9403475	9423547	p25.1
203336_s_at	ITGB1BP1	2	9403475	9423547	p25.1
	ITGB1BP1	2	9403475	9423547	p25.1
202471_s_at	IDH3G	X	153785766	153794523	q28
214333_x_at	IDH3G	X	153785766	153794523	q28
	IDH3G	X	153785766	153794523	q28
		10	30723251	30723740	p11.23
	SETP3	17	58476138	58476950	q22
		9	104520829	104537180	q31.1
	OR13C4	9	104526253	104527209	q31.1
	ZNF705CP	8	12356136	12359391	p23.1
	OR13C3	9	104535749	104536856	q31.1
	LINC01385	5	73451498	73453395	q13.2
229095_s_at		2	109898432	109968557	q13
229096_at		2	109898432	109968557	q13
		2	109898432	109968557	q13
		8	12374366	12375546	p23.1
	LINC01386	5	73454187	73472896	q13.2
	FAM66A	8	12362019	12388296	p23.1
	CYP4F23P	19	15564074	15584709	p13.12
		6	2561947	2564143	p25.2
		8	12378679	12380265	p23.1
	IGLV5-45	CHR_HSCHR22_1_CTG3	22375985	22376504	
215247_at		2	109937438	109985124	q13
1553363_at	LINC01600	6	2621913	2634603	p25.2
232938_at	SFMBT2	10	7158624	7411486	p14
227210_at	SFMBT2	10	7158624	7411486	p14
	SFMBT2	10	7158624	7411486	p14
	MIR17HG	13	91347820	91354579	q31.3
232291_at	MIR17HG	13	91347820	91354579	q31.3
233636_at	MIR17HG	13	91347820	91354579	q31.3
207592_s_at	HCN2	19	589893	617159	p13.3
214893_x_at	HCN2	19	589893	617159	p13.3
231389_at	PIH1D3	X	107206632	107244243	q22.3
		5	142036707	142037125	q31.3
1563101_at	ARNTL2-AS1	12	27389789	27446625	p11.23
1553511_at	GJD3	17	40362931	40363815	q21.2
230606_at		17	40360655	40364693	q21.2
		8	25276945	25277476	p21.2
	DOCK5	8	25184723	25418082	p21.2
1570078_a_at	DOCK5	8	25184723	25418082	p21.2
230263_s_at	DOCK5	8	25184723	25418082	p21.2
219921_s_at	DOCK5	8	25184723	25418082	p21.2
		6	106100140	106100593	q21
208894_at	HLA-DRA	CHR_HSCHR6_MHC_MANN_CTG1	32478466	32483677	
210982_s_at	HLA-DRA	CHR_HSCHR6_MHC_MANN_CTG1	32478466	32483677	
202393_s_at	KLF10	8	102648779	102655902	q22.3
226757_at	IFIT2	10	89283694	89309276	q23.31
217502_at	IFIT2	10	89283694	89309276	q23.31
	CKMT1B	15	43593054	43604901	q15.3
202712_s_at	CKMT1B	15	43593054	43604901	q15.3
		19	590430	591300	p13.3
210639_s_at	ATG5	6	106045423	106325791	q21
202511_s_at	ATG5	6	106045423	106325791	q21
202512_s_at	ATG5	6	106045423	106325791	q21
234943_at	TPTEP2	22	38335762	38398929	q13.1
	TPTEP2	22	38335762	38398929	q13.1
239715_at	TPTEP2	22	38335762	38398929	q13.1
242211_x_at	WDR90	16	649311	667833	p13.3
227894_at	WDR90	16	649311	667833	p13.3
	WDR90	16	649311	667833	p13.3
210996_s_at	YWHAE	CHR_HSCHR17_2_CTG2	1247054	1303157	
210317_s_at	YWHAE	CHR_HSCHR17_2_CTG2	1247054	1303157	
	YWHAE	CHR_HSCHR17_2_CTG2	1247054	1303157	
		22	26006389	26006532	q12.1
219556_at	TEDC2	16	2460080	2464963	p13.3
	TEDC2	16	2460080	2464963	p13.3
1554579_a_at	MYO18B	22	25742144	26031041	q12.1
	MYO18B	22	25742144	26031041	q12.1
	DHRSX-IT1	X	2334295	2336410	p22.33
238053_at	DHRSX	X	2219516	2502805	p22.33
225503_at	DHRSX	X	2219516	2502805	p22.33
	DHRSX	X	2219516	2502805	p22.33
212129_at	NIPA2	15	22838641	22868384	q11.2
212133_at	NIPA2	15	22838641	22868384	q11.2
	NIPA2	15	22838641	22868384	q11.2
229450_at	IFIT3	10	89327894	89340971	q23.31
204747_at	IFIT3	10	89327894	89340971	q23.31
		1	1317581	1318689	p36.33
225529_at	ACAP3	1	1292376	1309609	p36.33
225542_at	ACAP3	1	1292376	1309609	p36.33
	ACAP3	1	1292376	1309609	p36.33
	OR13C8	9	104569168	104570130	q31.1
	OR13D2P	9	104590044	104590950	q31.1
236109_at		11	126208611	126209027	q24.2
225398_at	RPUSD4	11	126202094	126211692	q24.2
	RPUSD4	11	126202094	126211692	q24.2
236109_at	RPUSD4	11	126202094	126211692	q24.2
	OR13C5	9	104598457	104599413	q31.1
	IFIT6P	10	89362294	89363487	q23.31
	OR13C2	9	104604671	104605627	q31.1
222278_at	MYMX	6	44216939	44218236	p21.1
	OR13C9	9	104617248	104618204	q31.1
		13	24323021	24323457	q12.12
		10	77730766	77734769	q22.3
1554821_a_at	ZBED1	X	2486414	2500967	p22.33
203043_at	ZBED1	X	2486414	2500967	p22.33
	ZBED1	X	2486414	2500967	p22.33
37079_at	NUS1P3	13	24328211	24329072	q12.12
	OR13I1P	9	104629754	104631017	q31.1
	OR13C1P	9	104655363	104659055	q31.1
	PPIAP54	17	40367952	40368438	q21.2
		10	77738246	77739015	q22.3
	COX6CP17	10	7295106	7295290	p14
	OR13D1	9	104694379	104695485	q31.1
	IMPDH1P5	10	77780337	77781876	q22.3
222422_s_at	NDFIP1	5	142108505	142154443	q31.3
217800_s_at	NDFIP1	5	142108505	142154443	q31.3
222423_at	NDFIP1	5	142108505	142154443	q31.3
	NDFIP1	5	142108505	142154443	q31.3
1552657_a_at	TXNDC2	18	9885726	9889275	p11.22
	TXNDC2	18	9885726	9889275	p11.22
224168_at	TXNDC2	18	9885726	9889275	p11.22
	MYCLP1	X	107272582	107273656	q22.3
	OR13D3P	9	104722335	104723271	q31.1
		11	117818443	117821992	q23.3
		11	117611101	117612017	q23.3
		19	15611623	15611909	p13.12
1556294_at	FXYD2	11	117800844	117828698	q23.3
	FXYD2	11	117800844	117828698	q23.3
205674_x_at	FXYD2	11	117800844	117828698	q23.3
207434_s_at	FXYD2	11	117800844	117828698	q23.3
213084_x_at	RPL23AP2	19	15611657	15612122	p13.12
200918_s_at	SRPRA	11	126262919	126269144	q24.2
200917_s_at	SRPRA	11	126262919	126269144	q24.2
